Anos,Viana do Castelo,Bragança,Porto,Castelo Branco,Lisboa,Beja,Faro,Funchal,Angra do Heroísmo
1960,x,11.7,x,15.2,16.8,15.9,x,18.7,x
1961,x,12.7,x,16.4,17.6,17,x,19.4,x
1962,x,12,x,15.7,16.8,16.3,x,18.5,x
1963,x,11.6,x,15.3,16.5,16.2,x,18.3,x
1964,x,12.4,x,15.9,16.9,16.4,x,18.6,x
1965,x,12.1,x,15.5,16.6,15.8,x,18.5,x
1966,x,12.4,x,16,17,16,17.2,18.8,x
1967,x,12.3,14,15.6,16.5,15.7,16.9,18.4,x
1968,x,12.4,14.2,15.8,16.9,16.1,17.1,18.5,x
1969,x,11.5,13.8,15,16.4,15.5,16.9,18.5,x
1970,14.3,12,13.8,15.7,16.7,16,17.1,18.3,16.6
1971,14.1,11.2,13.7,14.9,16.2,15.3,16.4,18.3,16.5
1972,13.8,11.3,13.2,14.5,15.7,15,16.3,17.9,16.6
1973,14.4,11.7,14,15.9,16.6,16,16.7,18.3,16.7
1974,14,11.5,13.5,15.8,16.5,16,16.9,18.1,16.4
1975,14.2,11.9,13.9,15.5,16.5,15.6,16.9,18.5,16.8
1976,14.3,11.9,14,16.2,16.6,15.7,17.1,18.8,16.3
1977,14.5,11.9,14,15.5,16.6,15.9,17,18.9,16.8
1978,14.5,12.3,14.2,15.9,16.9,16.3,17.1,18.7,16.7
1979,14.7,12.4,14.2,15.8,16.6,16.1,17,18.7,16.9
1980,14.6,12.1,14.1,15.9,16.9,16.5,17.5,19,17.2
1981,15.1,12.7,14.7,16.9,17.5,17.2,17.6,19,16.9
1982,14.8,12.5,14.1,15.7,17,16.2,17.4,18.8,16.5
1983,14.8,12.2,14.6,15.9,17,16.6,17.5,19.1,16.6
1984,14.5,11.8,14.1,15.6,16.7,15.8,17,18.3,17
1985,14.8,12.4,14.4,16.3,17.1,16.6,17.9,18.9,16.4
1986,14.2,12.2,13.7,15.1,16.9,16.1,17.4,18.7,16.9
1987,15.5,12.9,14.9,16,17.6,17,17.9,19.8,16.8
1988,15,12.2,14.5,15.4,17,16.5,18,19,17.2
1989,15.9,13.5,15.5,16.5,17.8,17.2,18.2,19.4,17
1990,15.6,13.2,15.2,16,17.5,17.1,17.7,19.5,16.8
1991,15,12.7,14.9,15.7,17.1,16.8,17.4,19.2,17.4
1992,14.8,12.4,14.8,15.6,17,16.7,17.6,19.2,17.5
1993,14.7,11.4,14.8,14.4,16.4,15.8,16.9,18.5,16.7
1994,14.9,12.7,14.7,15.6,17.2,16.8,18.1,19.3,17
1995,16.2,13.6,16.1,16.6,18.3,17.9,18.7,20.3,17.7
1996,15.1,12.5,14.6,15.5,17.3,16.8,17.6,19.3,17.1
1997,16.2,13.5,15.9,16.4,18.2,17.5,18.6,19.9,17.2
1998,15.4,13,15,16.2,17.5,17.3,18.2,20,18.1
1999,15,12.4,14.7,15.6,17.2,16.7,17.7,19.7,17.8
2000,15,12.5,14.8,15.6,17.5,17,18,19.5,17.4
2001,15.2,12.5,14.9,15.6,17.2,17,18.1,20.5,17.5
2002,15.4,12.8,15,15.8,17.4,16.9,18.1,20.2,17.1
2003,15.4,13.2,15.4,16.1,17.7,17.2,18.3,20.4,17.2
2004,15.1,12.6,14.9,16,17.5,17.1,18.1,20.5,17.8
2005,15.4,12.7,15.2,16.1,17.5,17.1,17.8,19.8,17.5
2006,15.1,13.3,15.9,16.5,18,17.4,18.4,20.3,17.4
2007,14.6,12.3,15.2,15.6,17.3,16.7,18,20.2,17.7
2008,14.3,12.4,15,15.5,17.3,16.5,17.8,20.3,18
2009,14.5,13.8,15.2,16.6,18.1,17.6,18.4,20.2,17.2
2010,14.5,12.5,15.4,16,17.7,17.1,18.6,20.2,17
2011,15.1,13.3,15.9,16.7,18.2,17.5,18.9,20,17.3
2012,14.1,12.6,14.9,15.9,17.5,16.7,18.2,20.4,17.9
2013,14.6,12.7,15.8,16,17.3,17.4,18.2,20,18
2014,15,13.2,x,16.2,17.6,17.6,18.5,19.4,x
